Start Date,End Date,Activity Type,Client,Location,Age Group
6/8/15,6/10/15,F.E.P.,Agape,"100 Dairy Farm Rd, Singapore 679057",K2
4/30/2015,4/30/2015,Prep Day,B2T (Mahagony Tree),7 Ming Teck Park,K2
4/30/2015,4/30/2015,Prep Day,B2T (Mahagony Tree),7 Ming Teck Park,K1
5/8/15,5/8/15,F.E.P.,B2T (Mahagony Tree),"601 Riﬂe Range Rd, Singapore 588398",K2
5/8/15,5/8/15,F.E.P.,B2T (Mahagony Tree),"601 Riﬂe Range Rd, Singapore 588398",K1
11/26/2015,11/26/2015,Prep Day,Bridges Montessori,"Center. 200, Ponggol 17th Avenue",K2
11/27/2015,11/27/2015,F.E.P.,Bridges Montessori,"Kent Ridge Park, Vigilante Dr, Singapore 118176 ",K2
2/5/17,2/5/17,Prep Day,Bright Juniors Temasek Poly,"45 Tampines Ave 1 Temasel Green #01-09, Singapore 529763",K1/K2
9/10/17,9/10/17,Prep Day,Cambridge Fernvale,"409A Fernvale Road #01-46, Singapore 791409",K2
16/10/17,16/10/17,Prep Day,Cambridge Fernvale,"601 Riﬂe Range Rd, Singapore 588398",K2
2/10/17,2/10/17,Prep Day,Cambridge Mei Huan,"5/15 Mei Hwan Drive, Singapore 568346",K2
8/12/17,8/12/17,Prep Day,Cambridge Mei Huan,"5/15 Mei Hwan Drive, Singapore 568346",K2
13/10/17,13/10/17,Prep Day,Cambridge Mei Huan,"601 Riﬂe Range Rd, Singapore 588398",K2
15/12/17,15/12/17,F.E.P.,Cambridge Mei Huan,"601 Riﬂe Range Rd, Singapore 588398",K2
9/10/17,9/10/17,Prep Day,Cambridge Robertson Quay,"11 Unity St, 02-01/02, Singapore 237995",K2
16/10/17,16/10/17,Prep Day,Cambridge Robertson Quay,"601 Riﬂe Range Rd, Singapore 588398",K2
12/10/17,12/10/17,Prep Day,Cambridge Sengkang,"50 Sengkang East Way, Singapore 548601",K2
20/10/17,20/10/17,Prep Day,Cambridge Sengkang,"601 Riﬂe Range Rd, Singapore 588398",K2
11/10/17,11/10/17,Prep Day,Cambridge Serangoon Gardens,"22 Kensington Park Road Serangoon Gardens Country Club, Singapore 557271",K2
20/10/17,20/10/17,Prep Day,Cambridge Serangoon Gardens,"601 Riﬂe Range Rd, Singapore 588398",K2
1/11/17,1/11/17,Prep Day,Carpe Diem @ Marine Parade ,"1 Marine Parade, #05-01, Parkway Centre, Singapore 449408",K2
3/11/17,3/11/17,F.E.P.,Carpe Diem @ Marine Parade ,"Labrador Nature Reserve, Labrador Villa Road, Singapore 119187 ",K2
25/10/17,25/10/17,Prep Day,Carpe Diem @ Marine Parade ,"1 Marine Parade, #05-01, Parkway Centre, Singapore 449408",K2
26/10/17,26/10/17,Prep Day,Carpe Diem @ Marine Parade ,"1 Marine Parade, #05-01, Parkway Centre, Singapore 449408",K2
4/5/17,4/5/17,Prep Day,Cherie Hearts @ Bedok Central Pte Ltd (B.C.),"Blk 219 Bedok Central, Linear Green @ Bedok #01-140A, Singapore 460219",K1/K2
9/5/17,9/5/17,Prep Day,Cherie Hearts @ Charlton Pte Ltd (CL1),"19F Charlton Lane, Singapore 539643",K1/K2
3/10/17,3/10/17,Prep Day,Cheriehearts Discovery Land ,"3 Depot Close #02-01, Singapore 109840 ",K2
4/12/17,4/12/17,Prep Day,Cheriehearts Discovery Land ,"3 Depot Close #02-01, Singapore 109840 ",K2
5/12/17,5/12/17,Prep Day,Cheriehearts Discovery Land ,"3 Depot Close #02-01, Singapore 109840 ",K2
8/12/17,8/12/17,F.E.P.,Cheriehearts Discovery Land ,"920 ECP, 1, Singapore 449875",K2
23/10/17,23/10/17,Prep Day,Cheriehearts Discovery Land ,"3 Depot Close #02-01, Singapore 109840 ",K2
24/10/17,24/10/17,Prep Day,Cheriehearts Discovery Land ,"3 Depot Close #02-01, Singapore 109840 ",K2
3/3/17,3/3/17,Prep Day,Creative O Preschoolers’ Bay ,"31 International Business Park, #02-01, Singapore 609921",K2
7/4/17,7/4/17,F.E.P.,Creative O Preschoolers’ Bay ,"601 Riﬂe Range Rd, Singapore 588398",K2
16/6/17,16/6/17,F.E.P.,Creative O Preschoolers’ Bay ,"601 Riﬂe Range Rd, Singapore 588398",K1
19/5/17,19/5/17,Prep Day,Creative O Preschoolers’ Bay ,"New Bridge Road, Singapore 059299",K1
21/4/17,21/4/17,Prep Day,Creative O Preschoolers’ Bay ,"31 International Business Park, #02-01, Singapore 609921",K1
21/7/17,21/7/17,F.E.P.,Creative O Preschoolers’ Bay ,"Kent Ridge Park, Vigilante Dr, Singapore 118176 ",K1
22/3/17,23/3/17,Actual,Creative O Preschoolers’ Bay ,"601 Riﬂe Range Rd, Singapore 588398",K2
23/6/17,23/6/17,Prep Day,Creative O Preschoolers’ Bay ,"31 International Business Park, #02-01, Singapore 609921",K2
26/5/17,26/5/17,Prep Day,Creative O Preschoolers’ Bay ,"Labrador Nature Reserve, Labrador Villa Road, Singapore 119187 ",K2
27/10/17,27/10/17,F.E.P.,Creative O Preschoolers’ Bay ,"601 Riﬂe Range Rd, Singapore 588398",K1
11/4/15,11/4/15,Prep Day,Early Years Montessori,"16 Sunset Drive, Singapore 597475",K1
11/9/15,11/9/15,F.E.P.,Early Years Montessori,"100 Dairy Farm Rd, Singapore 679057",K1
12/7/15,12/7/15,Prep Day,Early Years Montessori,"16 Sunset Drive, Singapore 597475",K1
12/8/15,12/8/15,F.E.P.,Early Years Montessori,"Labrador Nature Reserve, Labrador Villa Road, Singapore 119187 ",K1
4/5/17,4/5/17,Prep Day,Our Juniors' Schoolhouse Tanah Merah (P.B.),"68 Jalan Pari Burong, Singapore 488718",K1/K2
21/11/17,21/11/17,Prep Day,Star Learners @ Pasir Ris,"76 Pasir Ris Heights, Singapore 519282 ",K1/K2
24/11/17,24/11/17,F.E.P.,Star Learners @ Pasir Ris,"601 Riﬂe Range Rd, Singapore 588398",K1/K2
10/11/17,10/11/17,F.E.P.,The Little Skool-House International Pte.Ltd At The Park,"601 Riﬂe Range Rd, Singapore 588398",K1/K2
19/10/17,19/10/17,Prep Day,The Little Skool-House International Pte.Ltd At The Park,"1A Pearlbank, #01-10, Singapore 169016 ",K1/K2
11/24/2015,11/24/2015,Prep Day,The Little Skool-House International Pte.Ltd By-the-Vista,"170 Ghim Moh Road, Ulu Pandan Community Centre, #03-01, Singapore 279621",K1
11/24/2015,11/24/2015,Prep Day,The Little Skool-House International Pte.Ltd By-the-Vista,"170 Ghim Moh Road, Ulu Pandan Community Centre, #03-01, Singapore 279621",K2
11/25/2015,11/25/2015,F.E.P.,The Little Skool-House International Pte.Ltd By-the-Vista,"601 Riﬂe Range Rd, Singapore 588398",K1
11/25/2015,11/25/2015,F.E.P.,The Little Skool-House International Pte.Ltd By-the-Vista,"601 Riﬂe Range Rd, Singapore 588398",K2
1/3/17,1/3/17,Prep Day,The Little Skool-House International Pte.Ltd By-the-Vista,"170 Ghim Moh Road, Ulu Pandan Community Centre, #03-01, Singapore 279621",K2
1/3/17,1/3/17,Prep Day,The Little Skool-House International Pte.Ltd By-the-Vista,"170 Ghim Moh Road, Ulu Pandan Community Centre, #03-01, Singapore 279621",K2
6/3/17,6/3/17,Prep Day,The Little Skool-House International Pte.Ltd By-the-Vista,"170 Ghim Moh Road, Ulu Pandan Community Centre, #03-01, Singapore 279621",K2
10/3/17,11/3/17,F.E.P. Ex,The Little Skool-House International Pte.Ltd By-the-Vista,"601 Riﬂe Range Rd, Singapore 588398",K2
12/5/17,13/5/17,F.E.P. Ex,The Little Skool-House International Pte.Ltd By-the-Vista,"601 Riﬂe Range Rd, Singapore 588398",K2
14/11/17,14/11/17,Prep Day,The Little Skool-House International Pte.Ltd MSF,"512 Thomson Road, #05-00 MSF Building, Singapore 298136",K2
22/11/17,22/11/17,Prep Day,The Little Skool-House International Pte.Ltd MSF,"512 Thomson Road, #05-00 MSF Building, Singapore 298136",K2
24/11/17,24/11/17,F.E.P.,The Little Skool-House International Pte.Ltd MSF,"601 Riﬂe Range Rd, Singapore 588398",K2
5/6/17,5/6/17,Prep Day,The Little Skool-House International Pte.Ltd MSF,"512 Thomson Road, #05-00 MSF Building, Singapore 298136",K1/K2
15/6/17,15/6/17,F.E.P.,The Little Skool-House International Pte.Ltd MSF,"601 Riﬂe Range Rd, Singapore 588398",K1/K2
4/30/2015,4/30/2015,Prep Day,The Little Skool-House International Pte.Ltd OCBC,"65 Chulia Street, #02-02 OCBC Centre West Wing",K1
5/8/15,5/8/15,F.E.P.,The Little Skool-House International Pte.Ltd OCBC,"601 Riﬂe Range Rd, Singapore 588398",K1
6/25/2015,6/27/2015,F.E.P.,The Little Skool-House International Pte.Ltd OCBC,"Labrador Nature Reserve, Labrador Villa Road, Singapore 119187 ",K2
6/29/2015,6/29/2015,Prep Day,The Little Skool-House International Pte.Ltd OCBC,"65 Chulia Street, #02-02 OCBC Centre West Wing",K2
6/30/2015,6/30/2015,F.E.P.,The Little Skool-House International Pte.Ltd OCBC,"100 Dairy Farm Rd, Singapore 679057",K2
11/27/2015,11/27/2015,Family Day,The Little Skool-House International Pte.Ltd OCBC,"Labrador Nature Reserve, Labrador Villa Road, Singapore 119187 ",K2
8/7/16,8/7/16,Prep Day,The Little Skool-House International Pte.Ltd OCBC,"65 Chulia Street, #02-02 OCBC Centre West Wing",K2
7/7/17,7/7/17,F.E.P.,The Little Skool-House International Pte.Ltd OCBC,"601 Riﬂe Range Rd, Singapore 588398",K1
15/4/17,15/4/17,Prep Day,The Little Skool-House International Pte.Ltd OCBC,"65 Chulia Street, #02-02 OCBC Centre West Wing",K1
