School,Activities-Threats and Danger,Activities-Personal Packing,Activities-I.F.A.K,Activities-Casualty Evacuation,Activities-Navigation Basic (MAP),Activities-Navigation Basic (COMPASS),Activities-Fire Safety (Theory),Activities-Fire Safety (Practical),Activities-Tools Safety,Activities-Emergency Shelter,Activities-Inclement Weather Drill,Activities-Adult / Parents Briefing,I.P.M.C.,Operations-Instructors,Operations-Section Head,Operations-Coordinator,Operations-Travel Rebate,Operations-Admin Charges
LSH-@tp,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
S.L.C.C.,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
LSH-BTV,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
LSH-MSF,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
SL-PR,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
LSH-BTV,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1
LSH-BTV,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1
LSH-MSF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LSH-MSF,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1
B2T,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
B2T,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1
Cambri-MH,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1
LSH-Tpines,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1
Cambri-SRGN,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Cambri-RW,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Cambri-MP,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Apricot Academy,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
LSH-BTV,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Maneuver Marketing,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
Carz,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
G8-BT,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
G8-BT,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
G8-TP,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
G8-TP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
