"","itemList"
"1","Threats & Danger,Personal Packing,Personal Packing"
"2","Personal Packing,Threats & Danger"
"3","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"4","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"5","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"6","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"7","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"8","Threats & Danger,Personal Packing,Fire Safety"
"9","Threats & Danger,Personal Packing,Fire Safety"
"10","Threats & Danger,Personal Packing,Fire Safety"
"11","Threats & Danger,Personal Packing,Fire Safety"
"12","Threats & Danger,Personal Packing"
"13","Threats & Danger,Personal Packing"
"14","Threats & Danger,Personal Packing"
"15","Threats & Danger,Personal Packing"
"16","Threats & Danger,Personal Packing"
"17","Threats & Danger,Personal Packing"
"18","Threats & Danger,Personal Packing,Personal Packing"
"19","Threats & Danger,Personal Packing"
"20","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"21","Personal Packing,Threats & Danger"
"22","Personal Packing,Threats & Danger"
"23","Threats & Danger"
"24","Personal Packing,Threats & Danger"
"25","Threats & Danger,Personal Packing,I.F.A.K"
"26","Threats & Danger,Personal Packing,I.F.A.K"
"27","Personal Packing,Threats & Danger"
"28","Personal Packing,Threats & Danger"
"29","Personal Packing,Threats & Danger"
"30","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"31","Personal Packing,Threats & Danger"
"32","Threats & Danger,Personal Packing,I.F.A.K,Threats & Danger,Personal Packing,I.F.A.K,Fire Safety"
"33","Bicycle Training,Bicycle Training,Navigation Basic (MAP),Fire Safety"
"34","Threats & Danger,Personal Packing"
"35","Threats & Danger,Personal Packing,I.F.A.K,Navigation Basic (MAP)"
"36","Threats & Danger,Personal Packing,Threats & Danger"
"37","Bicycle Training,Bicycle Training,Navigation Basic (MAP),Fire Safety"
"38","Threats & Danger,Personal Packing,I.F.A.K,Fire Safety"
"39","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"40","Personal Packing,Threats & Danger"
"41","Threats & Danger,Personal Packing"
"42","Bicycle Training,Bicycle Training,Navigation Basic (MAP),Fire Safety"
"43","Personal Packing,Threats & Danger"
"44","Threats & Danger,Personal Packing"
"45","Threats & Danger,Personal Packing"
"46","Bicycle Training,Bicycle Training,Navigation Basic (MAP),Fire Safety"
"47","Threats & Danger,Personal Packing,I.F.A.K"
"48","Personal Packing,I.F.A.K,Fire Safety"
"49","Threats & Danger,Personal Packing,Fire Safety,Navigation Basic (MAP)"
"50","Wet & Croaking"
"51","Navigation Exercise (TRAILBOOK),The Falls"
"52","The Falls,Cycling At East Coast Park,Cycling At East Coast Park,Wet & Croaking"
"53","Navigation Exercise (TRAILBOOK),The Falls,Cycling At East Coast Park,Cycling At East Coast Park"
"54","The Falls,Cycling At East Coast Park,Cycling At East Coast Park,Wet & Croaking"
"55","Wet & Croaking,Wet & Croaking,Wet & Croaking,Cycling At East Coast Park"
"56","Wet & Croaking,Wet & Croaking,Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"57","Wet & Croaking,Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"58","The Falls,Cycling At East Coast Park,Cycling At East Coast Park"
"59","Wet & Croaking,Wet & Croaking,Wet & Croaking"
"60","Wet & Croaking,Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"61","The Falls,Cycling At East Coast Park"
"62","Cycling At East Coast Park,Wet & Croaking"
"63","Wet & Croaking,Cycling At East Coast Park"
"64","Navigation Exercise (TRAILBOOK),The Falls"
"65","Cycling At East Coast Park,Cycling At East Coast Park"
"66","Wet & Croaking,Wet & Croaking"
"67","Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"68","The Falls,Cycling At East Coast Park"
"69","The Falls,Cycling At East Coast Park,Cycling At East Coast Park,Wet & Croaking"
"70","Wet & Croaking,Cycling At East Coast Park"
"71","Cycling At East Coast Park,Cycling At East Coast Park"
"72","Cycling At East Coast Park"
"73","Wet & Croaking,Wet & Croaking"
"74","Wet & Croaking"
"75","Wet & Croaking"
"76","Cycling At East Coast Park,Cycling At East Coast Park,Wet & Croaking"
"77","Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"78","Cycling At East Coast Park,Wet & Croaking"
"79","The Falls,Cycling At East Coast Park"
"80","The Falls"
"81","Wet & Croaking,Wet & Croaking"
"82","Cycling At East Coast Park,Cycling At East Coast Park,Wet & Croaking,Wet & Croaking,Cycling At East Coast Park,Navigation Exercise (TRAILBOOK),The Falls"
"83","Cycling At East Coast Park,Cycling At East Coast Park"
"84","Wet & Croaking,Wet & Croaking"
"85","Wet & Croaking,Cycling At East Coast Park,Navigation Exercise (TRAILBOOK),The Falls"
"86","Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"87","Cycling At East Coast Park,Wet & Croaking,Wet & Croaking,Cycling At East Coast Park"
"88","Wet & Croaking,Wet & Croaking,Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"89","Wet & Croaking,Wet & Croaking,Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"90","Wet & Croaking,Cycling At East Coast Park"
"91","Cycling At East Coast Park,Navigation Exercise (TRAILBOOK)"
"92","Navigation Exercise (TRAILBOOK),The Falls,Cycling At East Coast Park,Cycling At East Coast Park"
