actual_id,activity_name,activity_desc,proj_loc,loc_name
w&c,Wet & Croaking,,"601 Riﬂe Range Rd, Singapore 588398",Rifle Range
tf,The Falls,,"602 Riﬂe Range Rd, Singapore 588398",Chantek Gaharu
tb-cg,Navigation Exercise (TRAILBOOK),,"603 Riﬂe Range Rd, Singapore 588398",Chantek Gaharu
vn-cg,Navigation Exercise (VISUAL),,"604 Riﬂe Range Rd, Singapore 588398",Chantek Gaharu
cn-cg,Navigation Exercise (COMPASS),,"605 Riﬂe Range Rd, Singapore 588398",Chantek Gaharu
wn-cg,Navigation Exercise (WARRIOR),,"606 Riﬂe Range Rd, Singapore 588398",Chantek Gaharu
tb-krp,Navigation Exercise (TRAILBOOK),,"Kent Ridge Park, Vigilante Dr, Singapore 118176 ",Kent Ridge Park
vn-krp,Navigation Exercise (VISUAL),,"Kent Ridge Park, Vigilante Dr, Singapore 118177",Kent Ridge Park
cn-krp,Navigation Exercise (COMPASS),,"Kent Ridge Park, Vigilante Dr, Singapore 118178",Kent Ridge Park
wn-krp,Navigation Exercise (WARRIOR),,"Kent Ridge Park, Vigilante Dr, Singapore 118179",Kent Ridge Park
scar,SCAR,,"Kent Ridge Park, Vigilante Dr, Singapore 118179",Kent Ridge Park
nomads,Nomads,,"Kent Ridge Park, Vigilante Dr, Singapore 118179",Kent Ridge Park
